date,density,type,manufacturer,part_number,price_usd,pct_change_vs_last_pull,explanation,explanation_source
2026/7/6,128Mb,NOR,Winbond,W25Q128JVSIQ,3.97,,,
2026/7/6,128Mb,NOR,Macronix,MX25L12833FM2I-10G,4.08,,,
2026/7/6,128Mb,NOR,GigaDevice,GD25Q128ESIGR,1.5857,,,
2026/7/6,128Mb,NOR,ISSI,IS25LP128-JBLE,4.11,,,
2026/7/6,64Mb,NOR,Winbond,W25Q64JVSSIQ,2.08,,,
2026/7/6,64Mb,NOR,Macronix,MX25L6433FM2I-08G,1.76,,,
2026/7/6,64Mb,NOR,GigaDevice,GD25Q64ESIGR,0.86835,,,
2026/7/6,64Mb,NOR,ISSI,IS25LP064A-JMLE,2.19,,,
2026/7/6,32Mb,NOR,Winbond,W25Q32JVSSIQ,0.93,,,
2026/7/6,32Mb,NOR,Macronix,MX25L3233FM2I-08G,1.23,,,
2026/7/6,32Mb,NOR,GigaDevice,GD25Q32ESIGR,0.78763,,,
2026/7/6,32Mb,NOR,ISSI,IS25LP032D-JNLE,1.74,,,
2026/7/6,1Gb,NAND,Winbond,W25N01GVZEIG,3.57,,,
2026/7/6,1Gb,NAND,Macronix,MX35LF1GE4AB-Z4I,10.64,,,
2026/7/6,1Gb,NAND,ISSI,IS37SML01G1-LLI,10.7,,,
2026/7/6,2Gb,NAND,Winbond,W25N02KVZEIR,18.35,,,
2026/7/6,2Gb,NAND,Macronix,MX35LF2GE4AD-Z4I,14.85,,,
2026/7/7,128Mb,NOR,Winbond,W25Q128JVSIQ,3.97,0,,
2026/7/7,128Mb,NOR,Macronix,MX25L12833FM2I-10G,4.08,0,,
2026/7/7,128Mb,NOR,GigaDevice,GD25Q128ESIGR,1.5857,0,,
2026/7/7,128Mb,NOR,ISSI,IS25LP128-JBLE,4.11,0,,
2026/7/7,64Mb,NOR,Winbond,W25Q64JVSSIQ,2.08,0,,
2026/7/7,64Mb,NOR,Macronix,MX25L6433FM2I-08G,1.76,0,,
2026/7/7,64Mb,NOR,GigaDevice,GD25Q64ESIGR,0.86835,0,,
2026/7/7,64Mb,NOR,ISSI,IS25LP064A-JMLE,2.19,0,,
2026/7/7,32Mb,NOR,Winbond,W25Q32JVSSIQ,0.93,0,,
2026/7/7,32Mb,NOR,Macronix,MX25L3233FM2I-08G,1.23,0,,
2026/7/7,32Mb,NOR,GigaDevice,GD25Q32ESIGR,0.78763,0,,
2026/7/7,32Mb,NOR,ISSI,IS25LP032D-JNLE,1.74,0,,
2026/7/7,1Gb,NAND,Winbond,W25N01GVZEIG,3.57,0,,
2026/7/7,1Gb,NAND,Macronix,MX35LF1GE4AB-Z4I,10.64,0,,
2026/7/7,1Gb,NAND,ISSI,IS37SML01G1-LLI,10.7,0,,
2026/7/7,2Gb,NAND,Winbond,W25N02KVZEIR,18.35,0,,
2026/7/7,2Gb,NAND,Macronix,MX35LF2GE4AD-Z4I,14.85,0,,
2026/7/8,128Mb,NOR,Winbond,W25Q128JVSIQ,3.97,0,,
2026/7/8,128Mb,NOR,Macronix,MX25L12833FM2I-10G,5.11,25.25,,
2026/7/8,128Mb,NOR,GigaDevice,GD25Q128ESIGR,1.5857,0,,
2026/7/8,128Mb,NOR,ISSI,IS25LP128-JBLE,4.11,0,,
2026/7/8,64Mb,NOR,Winbond,W25Q64JVSSIQ,2.08,0,,
2026/7/8,64Mb,NOR,Macronix,MX25L6433FM2I-08G,1.76,0,,
2026/7/8,64Mb,NOR,GigaDevice,GD25Q64ESIGR,0.99423,14.5,,
2026/7/8,64Mb,NOR,ISSI,IS25LP064A-JMLE,2.19,0,,
2026/7/8,32Mb,NOR,Winbond,W25Q32JVSSIQ,0.93,0,,
2026/7/8,32Mb,NOR,Macronix,MX25L3233FM2I-08G,1.23,0,,
2026/7/8,32Mb,NOR,GigaDevice,GD25Q32ESIGR,0.78763,0,,
2026/7/8,32Mb,NOR,ISSI,IS25LP032D-JNLE,1.74,0,,
2026/7/8,1Gb,NAND,Winbond,W25N01GVZEIG,3.57,0,,
2026/7/8,1Gb,NAND,Macronix,MX35LF1GE4AB-Z4I,10.64,0,,
2026/7/8,1Gb,NAND,ISSI,IS37SML01G1-LLI,10.7,0,,
2026/7/8,2Gb,NAND,Winbond,W25N02KVZEIR,18.35,0,,
2026/7/8,2Gb,NAND,Macronix,MX35LF2GE4AD-Z4I,14.85,0,,
2026/7/9,128Mb,NOR,Winbond,W25Q128JVSIQ,3.97,0,,
2026/7/9,128Mb,NOR,Macronix,MX25L12833FM2I-10G,5.11,0,,
2026/7/9,128Mb,NOR,GigaDevice,GD25Q128ESIGR,1.5857,0,,
2026/7/9,128Mb,NOR,ISSI,IS25LP128-JBLE,4.11,0,,
2026/7/9,64Mb,NOR,Winbond,W25Q64JVSSIQ,2.08,0,,
2026/7/9,64Mb,NOR,Macronix,MX25L6433FM2I-08G,1.76,0,,
2026/7/9,64Mb,NOR,GigaDevice,GD25Q64ESIGR,0.99423,0,,
2026/7/9,64Mb,NOR,ISSI,IS25LP064A-JMLE,2.19,0,,
2026/7/9,32Mb,NOR,Winbond,W25Q32JVSSIQ,0.93,0,,
2026/7/9,32Mb,NOR,Macronix,MX25L3233FM2I-08G,1.23,0,,
2026/7/9,32Mb,NOR,GigaDevice,GD25Q32ESIGR,0.78763,0,,
2026/7/9,32Mb,NOR,ISSI,IS25LP032D-JNLE,1.74,0,,
2026/7/9,1Gb,NAND,Winbond,W25N01GVZEIG,3.57,0,,
2026/7/9,1Gb,NAND,Macronix,MX35LF1GE4AB-Z4I,10.64,0,,
2026/7/9,1Gb,NAND,ISSI,IS37SML01G1-LLI,10.7,0,,
2026/7/9,2Gb,NAND,Winbond,W25N02KVZEIR,18.35,0,,
2026/7/9,2Gb,NAND,Macronix,MX35LF2GE4AD-Z4I,14.85,0,,
2026/7/10,128Mb,NOR,Winbond,W25Q128JVSIQ,3.97,0,,
2026/7/10,128Mb,NOR,Macronix,MX25L12833FM2I-10G,5.11,0,,
2026/7/10,128Mb,NOR,GigaDevice,GD25Q128ESIGR,2.18536,37.82,,
2026/7/10,128Mb,NOR,ISSI,IS25LP128-JBLE,4.11,0,,
2026/7/10,64Mb,NOR,Winbond,W25Q64JVSSIQ,2.08,0,,
2026/7/10,64Mb,NOR,Macronix,MX25L6433FM2I-08G,1.76,0,,
2026/7/10,64Mb,NOR,GigaDevice,GD25Q64ESIGR,1.27,27.74,,
2026/7/10,64Mb,NOR,ISSI,IS25LP064A-JMLE,2.19,0,,
2026/7/10,32Mb,NOR,Winbond,W25Q32JVSSIQ,0.93,0,,
2026/7/10,32Mb,NOR,Macronix,MX25L3233FM2I-08G,1.23,0,,
2026/7/10,32Mb,NOR,GigaDevice,GD25Q32ESIGR,0.99423,26.23,,
2026/7/10,32Mb,NOR,ISSI,IS25LP032D-JNLE,1.74,0,,
2026/7/10,1Gb,NAND,Winbond,W25N01GVZEIG,3.57,0,,
